K,T,S,sigma,n,m,Error
49,0.1,39.2,0.1,128,4,61037239693.70331
49,0.1,39.2,0.14,128,4,57191.59367101422
49,0.1,39.2,0.19,128,4,13.307373212274186
49,0.1,39.2,0.23,128,4,1.0572573280557775
49,0.1,39.2,0.27,19,49,0.0013451510258530729
49,0.1,39.2,0.31,19,46,0.00012010767847302095
49,0.1,39.2,0.36,14,22,0.0007241746468947471
49,0.1,39.2,0.4,6,4,0.00018705079801122486
49,0.1,43.120000000000005,0.1,128,4,102.69645230103474
49,0.1,43.120000000000005,0.14,8,14,0.009096443585687283
49,0.1,43.120000000000005,0.19,14,24,0.00048014747005042165
49,0.1,43.120000000000005,0.23,16,64,0.0007266673755168671
49,0.1,43.120000000000005,0.27,12,46,0.001143451203017789
49,0.1,43.120000000000005,0.31,10,64,0.0044082177433926225
49,0.1,43.120000000000005,0.36,10,64,0.008508939115956847
49,0.1,43.120000000000005,0.4,10,64,0.017454860999651947
49,0.1,47.04,0.1,10,30,0.00029708894766523615
49,0.1,47.04,0.14,5,36,0.00011903835679316692
49,0.1,47.04,0.19,5,34,0.0005716270377007443
49,0.1,47.04,0.23,4,11,0.0008308503468871293
49,0.1,47.04,0.27,4,27,0.0002115269648000532
49,0.1,47.04,0.31,5,7,0.003202088661419435
49,0.1,47.04,0.36,5,5,0.0029471497288511453
49,0.1,47.04,0.4,5,4,0.014734406482549594
49,0.1,49.6,0.1,6,44,0.00011046834606722684
49,0.1,49.6,0.14,6,64,0.002616653676142491
49,0.1,49.6,0.19,6,64,0.021559028206651752
49,0.1,49.6,0.23,4,4,0.028900494289572972
49,0.1,49.6,0.27,4,4,0.006094958906563582
49,0.1,49.6,0.31,4,6,0.0047244191591976166
49,0.1,49.6,0.36,4,20,1.872483211761679e-05
49,0.1,49.6,0.4,5,7,0.0025645900063105097
49,0.1,50.96,0.1,6,41,6.630720957868785e-05
49,0.1,50.96,0.14,6,41,0.00010196329752707672
49,0.1,50.96,0.19,6,64,0.002243522980557146
49,0.1,50.96,0.23,6,64,0.013795737536726109
49,0.1,50.96,0.27,4,4,0.018454018069539717
49,0.1,50.96,0.31,4,4,0.0015303690355915414
49,0.1,50.96,0.36,4,8,0.0016933164822582358
49,0.1,50.96,0.4,5,14,0.0005069383826230336
49,0.1,54.56,0.1,96,15,0.0006060869956981784
49,0.1,54.56,0.14,5,4,0.016732261865525157
49,0.1,54.56,0.19,5,64,0.0053258761488645485
49,0.1,54.56,0.23,4,6,0.0010736504137963422
49,0.1,54.56,0.27,4,4,0.004665568494166648
49,0.1,54.56,0.31,4,4,0.008535747868413273
49,0.1,54.56,0.36,4,4,0.003513558281870988
49,0.1,54.56,0.4,4,5,0.0017785498896390219
49,0.1,54.879999999999995,0.1,34,5,0.00016264490244529602
49,0.1,54.879999999999995,0.14,5,4,0.018637001113532347
49,0.1,54.879999999999995,0.19,5,64,0.005447938847984361
49,0.1,54.879999999999995,0.23,4,7,7.507700613568243e-06
49,0.1,54.879999999999995,0.27,4,4,0.002961477589442773
49,0.1,54.879999999999995,0.31,4,4,0.007775662098682976
49,0.1,54.879999999999995,0.36,4,4,0.004317520312328341
49,0.1,54.879999999999995,0.4,4,5,3.106506231952315e-05
